zip,wave,tests,cases,deaths,test_positivity
92707,Omicron Wave,17622,2033,9,0.1153671546929974
92708,First Wave,5158,442,8,0.08569212873206669
92708,Winter Wave,28156,3465,62,0.12306435573234835
92708,Delta Wave,17315,1565,8,0.09038406006352873
92708,Omicron Wave,16005,2229,6,0.13926897844423616
92780,First Wave,5382,855,14,0.1588628762541806
92780,Winter Wave,25887,4186,39,0.16170278518175146
92780,Delta Wave,15684,1419,14,0.0904743687834736
92780,Omicron Wave,12875,1829,3,0.14205825242718448
92782,First Wave,2361,204,1,0.08640406607369759
92782,Winter Wave,12307,1190,6,0.0966929389778175
92782,Delta Wave,9301,643,0,0.06913235136006882
92782,Omicron Wave,8977,1036,2,0.11540603765177676
92801,First Wave,8608,1311,25,0.15230018587360594
92801,Winter Wave,41184,6817,105,0.16552544677544678
92801,Delta Wave,19962,1730,10,0.08666466285943292
92801,Omicron Wave,18191,1954,6,0.10741575504370293
92802,First Wave,5233,971,29,0.18555321995031532
92802,Winter Wave,28451,4751,66,0.16698885803662436
92802,Delta Wave,14223,1174,12,0.08254236096463474
92802,Omicron Wave,11957,1309,8,0.10947562097516099
92804,First Wave,12279,1753,66,0.14276406873523903
92804,Winter Wave,58265,9046,199,0.15525615721273492
92804,Delta Wave,28347,2196,22,0.07746851518679225
92804,Omicron Wave,23942,2768,11,0.11561273076601787
92805,First Wave,9099,1657,25,0.18210792394768655
92805,Winter Wave,48104,8592,97,0.1786130051554964
92805,Delta Wave,21180,1732,13,0.0817752596789424
92805,Omicron Wave,19035,2185,15,0.11478854741266088
92806,First Wave,4817,868,12,0.1801951422046917
92806,Winter Wave,29322,3950,36,0.13471113839437965
92806,Delta Wave,12313,1083,6,0.08795581905303337
92806,Omicron Wave,12027,1412,8,0.1174025110168787
92807,First Wave,3507,372,7,0.10607356715141146
92807,Winter Wave,18982,2340,33,0.12327468127699927
92807,Delta Wave,12786,1320,8,0.1032379164711403
92807,Omicron Wave,11326,1544,3,0.13632350344340455
